Reference, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
"U1","NodeMCU_1.0_(ESP-12E)","ESP8266:NodeMCU-LoLinV3",""
"J2","Screw_Terminal_01x14","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-14-3.5-H_1x14_P3.50mm_Horizontal","~"
"R16","1k","Resistor_SMD:R_1206_3216Metric","~"
"D9","3.3V","Diode_SMD:D_SOD-323F","~"
"C7","0.01uF","Capacitor_SMD:C_1206_3216Metric","~"
"R9","1k","Resistor_SMD:R_1206_3216Metric","~"
"D16","D_Shockley","digikey-footprints:DO-214AC","~"
"K1","G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
"D2","D","Diode_SMD:D_1206_3216Metric","~"
"R2","2k","Resistor_SMD:R_1206_3216Metric","~"
"R15","1k","Resistor_SMD:R_1206_3216Metric","~"
"D8","3.3V","Diode_SMD:D_SOD-323F","~"
"C6","0.01uF","Capacitor_SMD:C_1206_3216Metric","~"
"R8","1k","Resistor_SMD:R_1206_3216Metric","~"
"D15","D_Shockley","digikey-footprints:DO-214AC","~"
"R14","1k","Resistor_SMD:R_1206_3216Metric","~"
"D7","3.3V","Diode_SMD:D_SOD-323F","~"
"C5","0.01uF","Capacitor_SMD:C_1206_3216Metric","~"
"R7","1k","Resistor_SMD:R_1206_3216Metric","~"
"D14","D_Shockley","digikey-footprints:DO-214AC","~"
"R13","1k","Resistor_SMD:R_1206_3216Metric","~"
"D6","3.3V","Diode_SMD:D_SOD-323F","~"
"C4","0.01uF","Capacitor_SMD:C_1206_3216Metric","~"
"R6","1k","Resistor_SMD:R_1206_3216Metric","~"
"D13","D_Shockley","digikey-footprints:DO-214AC","~"
"R12","1k","Resistor_SMD:R_1206_3216Metric","~"
"D5","3.3V","Diode_SMD:D_SOD-323F","~"
"C3","0.01uF","Capacitor_SMD:C_1206_3216Metric","~"
"R5","1k","Resistor_SMD:R_1206_3216Metric","~"
"D12","D_Shockley","digikey-footprints:DO-214AC","~"
"R11","1k","Resistor_SMD:R_1206_3216Metric","~"
"D4","3.3V","Diode_SMD:D_SOD-323F","~"
"C2","0.01uF","Capacitor_SMD:C_1206_3216Metric","~"
"R4","1k","Resistor_SMD:R_1206_3216Metric","~"
"D11","D_Shockley","digikey-footprints:DO-214AC","~"
"R10","1k","Resistor_SMD:R_1206_3216Metric","~"
"D3","3.3V","Diode_SMD:D_SOD-323F","~"
"C1","0.01uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"R3","1k","Resistor_SMD:R_1206_3216Metric","~"
"D10","D_Shockley","digikey-footprints:DO-214AC","~"
"D1","LED","LED_SMD:LED_1206_3216Metric","~"
"R1","1k","Resistor_SMD:R_1206_3216Metric","~"
"U2","MC7805CTG","digikey-footprints:TO-220-3","http://www.onsemi.com/pub/Collateral/MC7800-D.PDF","Integrated Circuits (ICs)","http://www.onsemi.com/pub/Collateral/MC7800-D.PDF","/product-detail/en/on-semiconductor/MC7805CTG/MC7805CTGOS-ND/919333","IC REG LINEAR 5V 1A TO220AB","MC7805CTGOS-ND","PMIC - Voltage Regulators - Linear","MC7805CTG","ON Semiconductor","Active"
"R17","0","Resistor_SMD:R_1206_3216Metric","~"
"H1","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"H2","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"H3","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"J1","Screw_Terminal_01x05","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-5-5.0-H_1x05_P5.00mm_Horizontal","~"
"C8","0.33uF","Capacitor_SMD:C_1206_3216Metric","~"
"C9","0.33uF","Capacitor_SMD:C_1206_3216Metric","~"
